stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
500037,10358,"Les Passerons",43.6663831229,4.5908261525,0
500038,10359,"Les Passerons",43.6662943074,4.5907730956,0
500039,10295,"L'Oustalet",43.6214459581,4.505729748,0
500040,10296,"L'Oustalet",43.6216388495,4.5055266679,0
500041,10297,"Pont de Rousty / Musée",43.6270444375,4.5299189005,0
500042,10298,"Pont de Rousty / Musée",43.6268427158,4.5292798657,0
500043,10362,"Bastières",43.6499221572,4.5750682441,0
500044,10363,"Bastières",43.6498538629,4.5748921987,0
500045,14118,"Mas de la Butte",43.6378111694,4.5547138221,0
500046,14119,"Mas de la Butte",43.6377833013,4.5554153402,0
500047,10289,"Paty de la Trinité",43.5828013034,4.4649558826,0
500048,10290,"Paty de la Trinité",43.5830772952,4.4651516889,0
500049,10291,"Albaron L'Agachon",43.6105155392,4.4775339788,0
500050,14009,"Mas de Broglie",43.6158850597,4.4834589797,0
500051,14010,"Mas de Broglie",43.613944554,4.4807137728,0
500052,14011,"Mas de Ventabren",43.5735033207,4.4214762141,0
500053,14012,"Mas de Ventabren",43.5750510492,4.4257751536,0
500054,14622,"Les Bruns",43.5782965425,4.4539790524,0
